Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
322	Numel	F				5/10	Yuka Morii	Scratched		7/20/2019
300	Skitty	N				6/10	Atsuko Nishida	Used		8/20/2019
255	Torchic	F				7/10	Hironobu Yoshida	Bent		
