Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
T	Switch	I				4/30	5ban Graphics			
676	Forfrou	N				16/30	5ban Graphics			
T	Fairy Energy	Fa				18/30				
661	Fletchling	N				19/30	5ban Graphics			
T	Pokemon Catcher	I				23/30	5ban Graphics			
209	Snubbull	Fa				27/30	Naoki Saito			
210	Granbull	Fa				29/30	Masokazu Fukuda			
700	Sylveon	Fa		Art		30/30	5ban Graphics			
