Name	Year	Set Count	Total Cards	Completed	Supplemental	Special
Neo Genesis	2000	111	111			
Neo Discovery	2001	75	75			
Southern Islands	2001	18	18	0		X
Neo Revelation	2001	64	66			
Neo Destiny	2002	105	113	0		
