Size	P Weight	P Height	G Weight	G Height	Not Mine	Letter	Date	Notes	IVs Before Trade	P Showcase Before	G Showcase Before	IVs After Trade	P Showcase After	G Showcase After
M	4.97	0.41	12.37	0.92		AP	d	n	ivb	psb	gsb	iva	psa	gsa
XXL	13.73	0.70	37.10	1.55		AQ	d	n	ivb	psb	gsb	iva	psa	gsa
M	6.56	0.44	16.07	0.99		AR	d	n	ivb	psb	gsb	iva	psa	gsa
XS	6.07	0.37	15.73	0.84		AS	d	n	ivb	psb	gsb	iva	psa	gsa
XS	4.45	0.32	11.87	0.74		AT	d	n	ivb	psb	gsb	iva	psa	gsa
M	5.47	0.42	13.53	0.94		AU	d	n	ivb	psb	gsb	iva	psa	gsa
XS	5.47	0.35	14.33	0.80		AV	d	n	ivb	psb	gsb	iva	psa	gsa
XXL	13.83	0.71	37.27	1.56		AW	d	n	ivb	psb	gsb	iva	psa	gsa
M	7.89	0.49	18.87	1.07		AX	d	n	ivb	psb	gsb	iva	psa	gsa
XS	5.00	0.33	13.30	0.76		AY	d	n	ivb	psb	gsb	iva	psa	gsa
XS	4.28	0.31	11.48	0.73		AZ	d	n	ivb	psb	gsb	iva	psa	gsa
M	6.89	0.47	16.65	1.04		BA	d	n	ivb	psb	gsb	iva	psa	gsa
XS	6.82	0.39	17.39	0.89		BB	d	n	ivb	psb	gsb	iva	psa	gsa
XS	6.28	0.39	15.94	0.89		BC	2024-09-17		ivb	psb	gsb	15/8/9	psb	965
XS	 5.15	0.34	13.54	0.79		mA	2024-10-12	n	ivb	psb	gsb	9/6/14	psb	gsb
XS	 4.05	0.30	10.98	0.70		aA	2024-10-12	new min height main acct	ivb	psb	gsb	15/11/7	psa	758
XS	 4.--	0.3-	11.18	0.80		mB	2024-10-12	didn't pay attention before evolving	ivb	psb	gsa	iva	psa
XS	 5.02	0.37	12.80	0.85		aB	2024-10-12		ivb	psb	gsb	iva	psa	gsa
XXL	10.07	0.66	28.19	1.49		mC	2024-10-12	Special Trade (Azelf)
XXL	11.06	0.71	30.02	1.57		aC	2024-10-12
XXL	12.35	0.69	33.74	1.53		mD	2024-10-12	n	ivb	psb	gsb	9/14/5	psa	gsa
XXL	13.87	0.77	36.53	1.65		aD	2024-10-12
XL	11.24	0.59	23.08	1.36		mE	2024-10-12
XL	11.57	0.59	23.97	1.63		aE	2024-10-12
XS	 5.81	0.38	14.82	0.87		mF	2024-10-12
XS	 6.06	0.39	15.38	0.88		aF	2024-10-12
XS	 4.06	0.33	10.71	0.76		m0	2024-10-12
XXL	12.65	0.75	33.60	1.63		m1	2024-10-12
XL	 9.22	0.56	18.72	1.29		m2	2024-10-12
XS	 3.72	0.32	 9.85	0.75		m3	2024-10-12
XL	 9.69	0.53	18.82	1.20		m4	2024-10-12
A	 7.20	0.49	17.19	1.09		mG	
A	 5.04	0.42	12.47	0.94		aG	
XL	 5.98	0.52	11.65	1.17		mH	
XL	 7.96	0.58	16.85	1.35		aH	
A	 8.50	0.48	20.63	1.05		mI	
A	 8.10	0.46	19.77	1.02		aI	
XXL	12.19	0.76	32.30	1.64		mJ	
XXL	11.47	0.72	30.97	1.58		aJ		Special Trade (Plusle)
A	 7.76	0.44	19.07	0.99		mK	
A	 6.86	0.41	17.07	0.92		aK	
A	 7.18	0.47	17.35	1.05		m0	
XS	 5.22	0.34	13.72	0.79		mL	2024-10-16
XS	 5.84	0.37	15.13	0.83		aL	2024-10-16	Lucky	ivb	psb	gsb	13/13/14	psa	919
A	 5.56	0.41	13.83	0.92		mM	2024-10-16
A	 7.95	0.49	19.07	1.09		aM	2024-10-16	Lucky	ivb	psb	gsb	15/13/12	psa	1182
XS	 6.10	0.38	15.67	0.86		mN	2024-10-16
XS	 5.45	0.36	14.21	0.81		aN	2024-10-16
A	 7.16	0.49	17.16	1.08		m0	2024-10-16	Lucky	ivb	psb	gsb	14/15/13	psa	gsa
A	 7.09	0.45	17.32	1.01		a0	2024-10-16
XXL	12.33	0.67	33.92	1.50		mO	2024-10-17
XXL	12.49	0.68	34.21	1.52		aO	2024-10-17
