Name	Year	Set Count	Total Cards	Completed	Supplemental	Special
Black & White	2011	114	115		Base Set	
Emerging Powers	2011	98	98			
Noble Victories	2011	101	102			
Next Destinies	2012	99	103			
Dark Explorers	2012	108	111			
Dragons Exalted	2012	124	128			
Dragon Vault	2012	20	21			X
Boundaries Crossed	2012	149	153			
Plasma Storm	2013	135	138			
Plasma Freeze	2013	116	122			
Plasma Blast	2013	101	105			
Legendary Treasures	2013	113	115			
Legendary Treasures	2013	RC25	25		Radiant Collection	
