Name	Year	Set Count	Total Cards	Completed	Supplemental	Special
Diamond & Pearl	2007	130	130		Base Set	
Mysterious Treasures	2007	123	124			
Secret Wonders	2007	132	132			
Great Encounters	2008	106	106			
Majestic Dawn	2008	100	100			
Legends Awakened	2008	146	146			
Stormfront	2008	103	106			
