File	Tags	Start	End	Location	Other	Extra File
cs164archive	Ongoing	January 2018				
devsite	Ongoing	February 2019			Bash, HTML, CSS	
pokemon	Ongoing	April 2019			Bash, Awk, HTML, CSS	
glendagopher	Non-Technical,OneDay,Previous	January 13th, 2022				
cardiacearrings	Previous,Non-Technical,OneDay	December 8th, 2021			
comfy	Events,Previous	April 14th and 15th, 2018		Philly CodeFest	HTML, CSS, Google Firebase, Google Maps APIs	
