File	Tags	Start	End	Location	Other	Extra File
headta	Previous	January 2018	June 2022	Drexel University's College of Computing and Informatics		
pattan	Previous	June 2019	October 2019	Pennsylvania Training and Technical Assistance Network (PaTTAN)		
dragonsteach	Previous	April 2018	June 2018	Drexel University, Julia R Masterman Laboratory and Demonstration School		
