Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
520	Tranquill	N	2			144	Saya Tsuruta			5/16/2020
521	Unfezant	N	3			145	Naoyo Kimura			4/25/2020
659	Bunnelby	N	1			146	Yuka Morii			4/25/2020
701	Hawlucha	N	2			148	tetsuya koizumi			4/25/2020
759	Stufful	N	1	Reverse		149	so-taro			4/25/2020
760	Bewear	N	2			150	Ryuta Fuse			5/16/2020
819	Skwovet	N	1			151	Mina Nakai			4/25/2020
820	Greedent	N	3	Reverse		152	kirisAki			4/25/2020
T	Boss's Orders	Su	3	Holo		154	nogimiso			9/29/2022
T	Capacious Bucket	I	2	Reverse		156	sadaji			5/16/2020
T	Cursed Shovel	I	2	Reverse		157	Toyste Beach			4/25/2020
T	Dan	Su	2	Reverse		158	Hitoshi Ariga			4/25/2020
T	Full Heal	I	2			159	Yoshinobu Saito			4/25/2020
T	Milo	Su	2			161	take			4/25/2020
T	Nugget	I	2			162	sadaji			5/16/2020
T	Oleana	Su	2			163	Yusuke Ohmura			4/25/2020
T	Poke Ball	I	2			164	Studio Bora Inc.			5/11/2021
T	Sonia	Su	2			167	Yusuke Ohmura			4/25/2020
T	Tool Scrapper	I	2			168	Studio Bora Inc.			4/25/2020
T	Training Court	I	2			169	5ban Graphics			5/16/2020
T	Turffield Stadium	S	2			170	oky CG Works			4/25/2020
T	Capture Energy	N	2			171				4/25/2020
T	Horror Energy	P	2			172				4/25/2020
T	Speed Energy	El	2			173				4/25/2020
T	Twin Energy	NN	2			174				4/25/2020
